key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,deprecated,is_json,is_xml,patch
application/1d-interleaved-parityfec,,,,6015,,,,,,,,
application/alto-costmap+json,,,,7285,,,,,,,,
application/alto-costmapfilter+json,,,,7285,,,,,,,,
application/alto-directory+json,,,,7285,,,,,,,,
application/alto-endpointcost+json,,,,7285,,,,,,,,
application/alto-endpointcostparams+json,,,,7285,,,,,,,,
application/alto-endpointprop+json,,,,7285,,,,,,,,
application/alto-endpointpropparams+json,,,,7285,,,,,,,,
application/alto-error+json,,,,7285,,,,,,,,
application/alto-networkmap+json,,,,7285,,,,,,,,
application/alto-networkmapfilter+json,,,,7285,,,,,,,,
application/atom+xml,,,,4287,,,,,,,,
application/atomcat+xml,,,,5023,,,,,,,,
application/atomdeleted+xml,,,,6721,,,,,,,,
application/atomsvc+xml,,,,5023,,,,,,,,
application/auth-policy+xml,,,,4745,,,,,,,,
application/batch-smtp,,,,2442,,,,,,,,
application/beep+xml,,,,3080,,,,,,,,
application/calendar+json,,,,7265,,,,,,,,
application/calendar+xml,,,,6321,,,,,,,,
application/call-completion,,,,6910,,,,,,,,
application/cals-1840,,,,1895,,,,,,,,
application/cbor,,,,7049,,,,,,,,
application/ccmp+xml,,,,6503,,,,,,,,
application/ccxml+xml,,,,4267,,,,,,,,
application/cdmi-capability,,,,6208,,,,,,,,
application/cdmi-container,,,,6208,,,,,,,,
application/cdmi-domain,,,,6208,,,,,,,,
application/cdmi-object,,,,6208,,,,,,,,
application/cdmi-queue,,,,6208,,,,,,,,
application/cdni,,,,7736,,,,,,,,
application/cellml+xml,,,,4708,,,,,,,,
application/cfw,,,,6230,,,,,,,,
application/cms,,,,7193,,,,,,,,
application/cnrp+xml,,,,3367,,,,,,,,
application/coap-group+json,,,,7390,,,,,,,,
application/coap-payload,,,,8075,,,,,,,,
application/conference-info+xml,,,,4575,,,,,,,,
application/cose,,,,8152,,,,,,,,
application/cose-key,,,,8152,,,,,,,,
application/cose-key-set,,,,8152,,,,,,,,
application/cpl+xml,,,,3880,,,,,,,,
application/csrattrs,,,,7030,,,,,,,,
application/davmount+xml,,,,4709,,,,,,,,
application/dialog-info+xml,,,,4235,,,,,,,,
application/dicom,,,,3240,,,,,,,,
application/dns,,,,4027,,,,,,,,
application/dskpp+xml,,,,6063,,,,,,,,
application/dssc+der,,,,5698,,,,,,,,
application/dssc+xml,,,,5698,,,,,,,,
application/dvcs,,,,3029,,,,,,,,
application/ecmascript,,,,4329,,,,,,,,
application/edi-consent,,,,1767,,,,,,,,
application/edi-x12,,,,1767,,,,,,,,
application/edifact,,,,1767,,,,,,,,
application/emergencycalldata.comment+xml,,,,7852,,,,,,,,
application/emergencycalldata.control+xml,,,,8147,,,,,,,,
application/emergencycalldata.deviceinfo+xml,,,,7852,,,,,,,,
